ObjectID,AphiaID,RACEcode,FRAMcode,SWFSCcode,Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,AUV_OTU,common_name,common_name_authority,AUV_nickname,morpho_type_descriptor,also_called_historically_3,12RB_button,Group1,Group2,Activation_date,Deactivation_date
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Sibogagorgia,cauliflora,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Sibogagorgia,,,,,,,,,,,,
,,,,846,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Chromoplexaura,cordellbankensis,,,,,,,,,,,
,,,,836,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Chromoplexaura,marki,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Chromoplexaura,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Heterogorgia,tortuosa,,,,,,,,,,,
,,,,842,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Placogorgia,sp. A,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Psammogorgia,arbuscula,,,,,,,,,,,
,,,,755,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,farallonesica,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,kofoidi,,,,,,,,,,,
,,41571,,812,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,pacifica,,Sea fan,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,pusilla,,,,,,,,,,,
,,41572,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,simplex,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Plexauridae,Swiftia,spauldingi,,Sea fan,,,,,,,,,
